,playerId,teamId,role,name,team,eliminations_avg_per_10m,deaths_avg_per_10m,hero_damage_avg_per_10m,healing_avg_per_10m,ultimates_earned_avg_per_10m,final_blows_avg_per_10m,time_played_total,total_elims,total_deaths,total_hero_damage,total_healing,total_ultimates,total_final_blows
0,5197,7697,flexdps,Ado,WAS,11.634260765687484,5.118019475155039,4225.372058872415,8666.542801724425,4.326573164564054,2.7964436307548146,22743.172542631626,441.0,194.0,160163.94298624995,328507.79714620113,164.0,105.99999999999999
1,8675,7693,flexdps,Adora,HZS,14.18563433885192,4.298677072379371,4294.318757279122,8900.980565242058,4.728544779617307,2.794140097046591,2791.5565179586406,65.99999999999999,20.0,19979.722528457638,41412.65052187443,21.999999999999996,12.999999999999998
2,4142,4405,flexdps,Agilities,VAL,16.51006097382893,5.39891044983603,5908.822155706751,10008.673399039399,5.447115007423852,3.7117509342622697,24893.91169732809,685.0,224.0,245156.16163229942,415258.3863384723,226.00000000000003,153.99999999999997
3,8751,7695,flexsupport,Aid,TOR,15.987017534136985,4.9262321471468615,6852.8044288714,10359.851398035336,4.647388818063077,3.020802731741,12910.475613057612,343.99999999999994,105.99999999999999,147454.94076666233,222917.68138206005,100.0,65.0
4,5863,4402,flexsupport,AimGod,BOS,14.838181481972521,4.700562600858448,7580.381860362194,10147.806465160407,4.722224179664247,3.812437869820677,27698.81204777956,685.0,216.99999999999997,349945.9540009499,468470.3066262007,217.99999999999997,176.0
5,3985,4523,maindps,aKm,DAL,22.188242237406396,4.456346404422915,10630.210455878514,14.944344082758725,4.799142281686216,6.824754283696631,19253.440422594547,711.9999999999999,143.0,341113.53948649764,479.55006408691406,154.00000000000003,219.0
6,8672,4402,mainsupport,alemao,BOS,13.045985441951409,4.711050298482453,4793.268094141436,4990.147961771174,3.261496360487852,1.8119424224932512,1655.6817494630814,36.0,13.0,13226.877506256107,13770.161512374878,9.0,5.0
7,8812,7692,maintank,ameng,CDH,16.408248426697018,6.394755429135696,7504.312849290923,0.0,4.858031256242621,4.808459508729941,24207.337046027184,662.0,258.0,302765.7174026966,0.0,196.0,193.99999999999997
8,4841,4403,mainsupport,Anamo,NYE,17.908250180441847,2.1299327288162453,4975.818776179913,6225.132903864145,3.4751533996475565,2.0178310062469693,21409.126862585545,639.0,76.00000000000001,177546.55904078484,222124.43345880506,123.99999999999997,72.00000000000001
9,6981,4407,flexdps,Apply,FLA,14.122561421462985,5.38695641849619,4799.85438443113,7970.046519321972,4.707520473820996,3.105992889943749,12363.196362853048,290.99999999999994,110.99999999999999,98902.570446372,164225.416899085,97.00000000000001,63.99999999999998
10,5715,4404,flexdps,Architect,SFS,15.222207120647465,4.4487436303300685,5243.971435991112,8473.734890062495,4.823938876261519,3.751952459314516,11194.171689391134,284.0,82.99999999999999,97836.52764791247,158094.07201623914,89.99999999999997,70.0
11,4652,7697,mainsupport,ArK,WAS,10.032708095530491,2.767643612560136,3005.7645935554997,5154.747516908129,2.421688160990119,1.037866354710051,1734.3273455500605,29.0,8.000000000000002,8688.29954814911,14900.032629966736,7.000000000000002,3.000000000000001
12,5878,4402,maintank,Axxiom,BOS,13.589014561645525,6.323051673581997,7227.732158597082,0.0,3.7716448579261033,3.3833872990219462,10817.5614451766,245.00000000000003,113.99999999999996,130310.72789150472,0.0,67.99999999999997,60.999999999999986
13,8896,7692,maindps,Baconjack,CDH,15.924892697999852,5.68363173733328,7415.883846402495,23.18529868401969,4.450390888666625,6.005346741333276,11190.028302192688,297.0,106.00000000000001,138306.58354502916,432.40691411495203,83.00000000000001,111.99999999999999
14,4624,4525,flexsupport,Bani,HOU,14.522001182233842,5.350210961875625,6364.565789283623,7591.461944926478,4.2037371843308495,3.057263406786072,1570.0315482616425,38.0,13.999999999999998,16654.28180027008,19864.724584937096,11.000000000000002,7.999999999999999
15,8676,7693,flexdps,Bazzi,HZS,15.925613790521743,5.930075000693318,5250.646707118291,7845.662161749598,4.615676933529334,3.668087629294836,19628.756800949574,520.9999999999999,194.0,171772.7787695527,256667.6575256586,151.0,120.00000000000001
16,4655,4410,flexsupport,Bdosin,LDN,14.431812951746775,4.308003866193066,7727.613136297352,8394.21468727723,4.4426289870116,3.9041285037374664,22284.10256391764,536.0000000000002,160.00000000000003,287004.8728392125,311762.56839138275,165.00000000000006,145.00000000000003
